,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim
306054,27561289,30064413,20000.0,20000.0,20000.0, 36 months,12.99,673.79,2.0,10.0,6.0,RENT,52000.0,Source Verified,Sep-2014,n,debt_consolidation,Debt consolidation,440xx,OH,19.96,0.0,562.0,1.0,12.0,1.0,19304.0,65.7,27.0,f,0.0,0.0,20217.0,20217.0,20000.0,217.0,0.0,0.0,0.0,Oct-2014,20217.0,,Oct-2014,0.0,1.0,INDIVIDUAL,0.0,130.0,26775.0,29400.0
222856,1197349,1438570,15000.0,15000.0,15000.0, 36 months,8.9,476.3,0.0,4.0,1.0,RENT,75000.0,Not Verified,Mar-2012,n,debt_consolidation,starting over,020xx,MA,11.22,0.0,453.0,0.0,5.0,0.0,13384.0,82.1,18.0,f,0.0,0.0,15968.76,15968.76,13583.35,2123.99,0.0,261.42,47.0556,Jan-2015,476.3,,Jul-2015,0.0,1.0,INDIVIDUAL,0.0,,,
161786,3485308,4367544,6600.0,6600.0,6600.0, 36 months,19.05,242.1,3.0,18.0,2.0,RENT,32000.0,Not Verified,Mar-2013,n,other,Stuff,903xx,CA,13.24,0.0,508.0,0.0,8.0,0.0,6806.0,79.1,15.0,f,0.0,0.0,8634.73077751,8634.73,6600.0,2034.73,0.0,0.0,0.0,Nov-2015,129.63,,Oct-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,13270.0,8600.0
26627,566094,728242,8000.0,8000.0,7975.0, 36 months,11.86,265.18,1.0,9.0,2.0,MORTGAGE,35000.0,Not Verified,Aug-2010,n,credit_card,Want to Pay Off Debt Faster ,717xx,AR,8.13,0.0,431.0,1.0,6.0,1.0,8690.0,81.2,25.0,f,0.0,0.0,9402.53,9373.17,8000.0,1402.53,0.0,0.0,0.0,Nov-2012,2803.57,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,,,
18823,679744,868368,6000.0,6000.0,6000.0, 36 months,5.79,181.97,0.0,1.0,1.0,MORTGAGE,100000.0,Verified,Mar-2011,n,home_improvement,Home Remodeling - Add Bedroom & 1/2 Bath,141xx,NY,8.38,0.0,457.0,1.0,12.0,0.0,1763.0,3.6,29.0,f,0.0,0.0,6371.09,6371.09,6000.0,371.09,0.0,0.0,0.0,Aug-2012,34.68,,Aug-2012,0.0,1.0,INDIVIDUAL,0.0,,,
202555,1477658,1735493,15875.0,15875.0,15875.0, 36 months,14.33,545.12,2.0,10.0,5.0,MORTGAGE,63000.0,Not Verified,Aug-2012,n,debt_consolidation,payoff,874xx,NM,28.34,0.0,502.0,2.0,5.0,0.0,19620.0,78.8,21.0,f,0.0,0.0,8131.57,8131.57,4550.79,1979.97,0.0,1600.81,15.9081000019,Sep-2013,545.12,,Jan-2014,0.0,1.0,INDIVIDUAL,0.0,0.0,177854.0,24900.0
182539,2285764,2707988,16000.0,16000.0,16000.0, 36 months,12.12,532.35,1.0,7.0,1.0,MORTGAGE,50000.0,Verified,Dec-2012,n,debt_consolidation,my loan,272xx,NC,29.47,0.0,494.0,0.0,13.0,0.0,20452.0,50.6,26.0,f,0.0,0.0,19164.4469378,19164.45,16000.0,3164.45,0.0,0.0,0.0,Dec-2015,532.19,,Dec-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,31688.0,40400.0
343202,21110334,23393080,15000.0,15000.0,15000.0, 36 months,14.49,516.25,2.0,13.0,0.0,MORTGAGE,85000.0,Not Verified,Jul-2014,n,moving,Moving and relocation,953xx,CA,5.76,0.0,506.0,1.0,9.0,0.0,10446.0,66.1,26.0,w,0.0,0.0,16868.61,16868.61,15000.0,1868.61,0.0,0.0,0.0,Jun-2015,11706.11,,Jul-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,259059.0,15800.0
685731,55109888,58680666,25000.0,25000.0,25000.0, 36 months,9.99,806.57,1.0,7.0,1.0,RENT,106000.0,Source Verified,Jul-2015,n,credit_card,Credit card refinancing,930xx,CA,26.55,0.0,524.0,0.0,15.0,0.0,48496.0,78.3,20.0,w,0.0,0.0,792.69,792.69,598.45,194.25,0.0,0.0,0.0,Aug-2015,806.57,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,63830.0,61900.0
115333,5639877,7022347,6900.0,6900.0,6900.0, 36 months,11.55,227.7,1.0,7.0,1.0,MORTGAGE,41000.0,Verified,Jul-2013,n,credit_card,Credit card refinancing,232xx,VA,31.29,0.0,397.0,1.0,9.0,0.0,16658.0,64.8,18.0,w,0.0,0.0,8051.95615927,8051.96,6900.0,1151.96,0.0,0.0,0.0,Dec-2015,176.35,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,247.0,237682.0,25700.0
158502,3632005,4584797,10000.0,10000.0,10000.0, 36 months,14.33,343.39,2.0,10.0,1.0,RENT,75000.0,Not Verified,Mar-2013,n,debt_consolidation,money pleez,482xx,MI,10.22,0.0,486.0,1.0,19.0,0.0,8719.0,41.7,26.0,w,0.0,0.0,12296.33,12296.33,10000.0,2296.33,0.0,0.0,0.0,Sep-2015,2338.02,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,1967.0,25681.0,20900.0
882503,38574389,41358125,5000.0,5000.0,5000.0, 36 months,7.49,155.51,0.0,3.0,3.0,RENT,40000.0,Not Verified,Jan-2015,n,debt_consolidation,Debt consolidation,946xx,CA,16.92,0.0,582.0,0.0,8.0,0.0,4933.0,34.7,12.0,w,0.0,0.0,5299.39,5299.39,5000.0,299.39,0.0,0.0,0.0,Dec-2015,3748.45,,Dec-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,28852.0,14200.0
332386,23463076,25816023,6000.0,6000.0,6000.0, 36 months,6.03,182.62,0.0,0.0,2.0,RENT,65500.0,Not Verified,Aug-2014,n,major_purchase,Major purchase,021xx,MA,20.8,0.0,562.0,0.0,21.0,0.0,3571.0,16.8,42.0,f,0.0,0.0,6228.6,6228.6,6000.0,228.6,0.0,0.0,0.0,Jun-2015,1898.12,,Jun-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,135044.0,21200.0
204629,1455216,1709226,25000.0,25000.0,25000.0, 36 months,12.12,831.8,1.0,7.0,8.0,MORTGAGE,250000.0,Verified,Aug-2012,n,debt_consolidation,Consolidation Loan,349xx,FL,4.11,0.0,552.0,0.0,12.0,0.0,15921.0,67.2,13.0,f,0.0,0.0,29943.3007982,29943.3,25000.0,4943.3,0.0,0.0,0.0,Aug-2015,834.98,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,,,
409940,14308295,16360681,15775.0,15775.0,15775.0, 60 months,20.49,422.26,4.0,21.0,1.0,MORTGAGE,100000.0,Verified,Apr-2014,n,debt_consolidation,Debt consolidation,103xx,NY,9.01,3.0,494.0,1.0,12.0,0.0,10236.0,59.5,28.0,f,0.0,0.0,16044.36,16044.36,15775.0,269.36,0.0,0.0,0.0,May-2014,16044.36,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,457683.0,17200.0
157215,3634014,4636964,6250.0,6250.0,6250.0, 36 months,15.8,219.12,2.0,12.0,2.0,MORTGAGE,31000.0,Not Verified,Mar-2013,n,home_improvement,Home improvement,342xx,FL,22.8,0.0,445.0,0.0,8.0,0.0,4889.0,67.9,20.0,w,0.0,0.0,7566.29015701,7566.29,6250.0,1316.29,0.0,0.0,0.0,Jan-2015,3183.89,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,111820.0,7200.0
133995,5405791,6778007,20000.0,20000.0,19950.0, 36 months,8.9,635.07,0.0,4.0,3.0,MORTGAGE,62000.0,Verified,Jun-2013,n,debt_consolidation,Consolidation,750xx,TX,9.99,0.0,493.0,0.0,9.0,0.0,2484.0,40.7,29.0,f,0.0,0.0,22539.2008798,22482.86,20000.0,2539.2,0.0,0.0,0.0,Jun-2015,7942.99,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,210959.0,6100.0
261672,33651524,36294806,10800.0,10800.0,10800.0, 36 months,12.39,360.73,2.0,10.0,5.0,RENT,50000.0,Source Verified,Nov-2014,n,debt_consolidation,Debt consolidation,708xx,LA,30.08,0.0,549.0,0.0,18.0,0.0,7192.0,86.7,24.0,f,0.0,0.0,11576.4,11576.4,10800.0,776.4,0.0,0.0,0.0,Jun-2015,9423.17,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,147.0,95338.0,8300.0
191490,1609766,1881556,3000.0,3000.0,3000.0, 36 months,14.33,103.02,2.0,10.0,8.0,MORTGAGE,45000.0,Not Verified,Oct-2012,n,debt_consolidation,Newmoney,331xx,FL,14.91,1.0,490.0,2.0,10.0,0.0,8788.0,43.1,39.0,f,0.0,0.0,3707.64553056,3707.65,3000.0,707.65,0.0,0.0,0.0,Oct-2015,104.83,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,230103.0,20400.0
423566,12947658,14979839,10000.0,10000.0,10000.0, 36 months,9.67,321.13,1.0,5.0,1.0,MORTGAGE,80000.0,Not Verified,Mar-2014,n,debt_consolidation,Debt consolidation,064xx,CT,9.33,0.0,367.0,0.0,13.0,0.0,28850.0,50.3,28.0,f,0.0,0.0,10958.09,10958.09,10000.0,958.09,0.0,0.0,0.0,May-2015,6783.4,,May-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,260369.0,57400.0
357555,20049207,22311830,15000.0,15000.0,14900.0, 36 months,7.12,463.98,0.0,2.0,8.0,MORTGAGE,50000.0,Not Verified,Jul-2014,n,debt_consolidation,Debt consolidation,059xx,VT,29.07,0.0,365.0,0.0,15.0,0.0,19082.0,62.0,51.0,f,0.0,0.0,15985.53,15878.96,15000.0,985.53,0.0,0.0,0.0,Aug-2015,10417.77,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,117578.0,30800.0
9855,842583,1053268,1500.0,1500.0,1500.0, 36 months,5.99,45.63,0.0,1.0,5.0,OWN,57600.0,Verified,Aug-2011,n,other,Personal Loan,913xx,CA,12.6,0.0,305.0,0.0,5.0,0.0,57157.0,59.4,12.0,f,0.0,0.0,1640.18425983,1640.18,1500.0,140.18,0.0,0.0,0.0,Apr-2014,226.55,,Nov-2015,0.0,1.0,INDIVIDUAL,0.0,,,
314807,25938054,28390923,28000.0,28000.0,28000.0, 36 months,7.12,866.1,0.0,2.0,2.0,MORTGAGE,231000.0,Source Verified,Aug-2014,n,home_improvement,Home improvement,949xx,CA,5.46,0.0,512.0,0.0,8.0,0.0,2344.0,5.6,10.0,w,0.0,0.0,30183.6,30183.6,28000.0,2183.6,0.0,0.0,0.0,Jan-2016,17181.54,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,998686.0,41600.0
323753,24465043,26877960,18000.0,18000.0,18000.0, 36 months,7.69,561.49,0.0,3.0,10.0,OWN,45000.0,Not Verified,Aug-2014,n,credit_card,Credit card refinancing,347xx,FL,9.25,0.0,573.0,1.0,11.0,0.0,18477.0,48.6,23.0,w,0.0,0.0,19365.12,19365.12,18000.0,1365.12,0.0,0.0,0.0,Oct-2015,12065.75,,Oct-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,18477.0,38000.0
50747,9675820,1298258,35000.0,35000.0,34975.0, 60 months,25.8,1043.78,6.0,30.0,10.0,RENT,90000.0,Verified,Dec-2013,n,debt_consolidation,Debt consolidation,950xx,CA,11.83,2.0,465.0,1.0,9.0,0.0,17787.0,33.8,23.0,f,0.0,0.0,39629.19010290001,39600.89,35000.0,4629.19,0.0,0.0,0.0,Jul-2014,10216.62,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,38282.0,41600.0
873977,38628764,41412661,20000.0,20000.0,19900.0, 36 months,10.49,649.96,1.0,7.0,3.0,RENT,72000.0,Verified,Jan-2015,n,debt_consolidation,Debt consolidation,950xx,CA,16.82,1.0,483.0,0.0,9.0,0.0,12367.0,70.3,32.0,f,0.0,0.0,20841.92,20737.71,19999.99,841.93,0.0,0.0,0.0,Jul-2015,587.56,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,69.0,41027.0,17600.0
449772,6825492,8447608,8000.0,8000.0,8000.0, 36 months,17.57,287.5,3.0,16.0,0.0,OWN,100000.0,Source Verified,Feb-2014,n,other,Other,920xx,CA,7.78,0.0,529.0,2.0,9.0,0.0,9084.0,29.6,15.0,f,0.0,0.0,2971.48,2971.48,1246.25,766.25,0.0,958.98,9.5898,Sep-2014,287.5,,Feb-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,273748.0,30700.0
245796,35296728,37978129,6400.0,6400.0,6400.0, 36 months,9.49,204.99,1.0,6.0,8.0,OWN,30000.0,Source Verified,Nov-2014,n,credit_card,Credit card refinancing,141xx,NY,18.96,0.0,516.0,0.0,8.0,0.0,4210.0,78.0,8.0,w,0.0,0.0,1636.55,1636.55,1269.74,366.81,0.0,0.0,0.0,Jul-2015,204.99,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,14234.0,5400.0
37311,385691,417478,3500.0,3500.0,3500.0, 36 months,16.0,123.06,4.0,21.0,0.0,OWN,35000.0,Not Verified,Mar-2009,n,medical,Surgery/expenses,928xx,CA,23.45,0.0,478.0,0.0,4.0,0.0,5369.0,89.5,27.0,f,0.0,0.0,4428.25,4428.25,3499.99,928.26,0.0,0.0,0.0,Apr-2012,129.01,,Apr-2013,0.0,1.0,INDIVIDUAL,0.0,,,
259725,34492096,37155374,3600.0,3600.0,3600.0, 36 months,6.99,111.15,0.0,2.0,1.0,MORTGAGE,38000.0,Not Verified,Nov-2014,n,debt_consolidation,Debt consolidation,320xx,FL,20.03,0.0,461.0,0.0,15.0,0.0,11623.0,15.9,32.0,f,0.0,0.0,3814.8897039,3814.89,3600.0,214.89,0.0,0.0,0.0,Nov-2015,2593.64,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,119513.0,73000.0
27486,551974,711298,10000.0,10000.0,10000.0, 36 months,16.45,353.8,4.0,20.0,1.0,RENT,70000.0,Verified,Jul-2010,n,debt_consolidation,debt consolidation,194xx,PA,10.82,0.0,558.0,2.0,4.0,0.0,8315.0,75.6,8.0,f,0.0,0.0,12565.0,12565.0,10000.0,2565.0,0.0,0.0,0.0,Dec-2012,3035.6,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,,,
8472,865653,1040944,25000.0,17050.0,17025.0, 60 months,14.79,403.75,2.0,13.0,10.0,MORTGAGE,108000.0,Verified,Sep-2011,n,debt_consolidation,Consolidate and Lower Monthly Payment,983xx,WA,20.62,0.0,449.0,3.0,13.0,0.0,10572.0,34.2,39.0,f,0.0,0.0,4890.78,4883.62,2043.17,1986.63,0.0,860.98,8.25,Jul-2012,403.75,,Dec-2012,0.0,1.0,INDIVIDUAL,0.0,,,
47077,8669332,10441120,16800.0,16800.0,16750.0, 36 months,7.9,525.68,0.0,3.0,10.0,MORTGAGE,85000.0,Not Verified,Dec-2013,n,debt_consolidation,Credit Card Debt Consolidation,144xx,NY,14.17,0.0,488.0,0.0,15.0,0.0,21385.0,51.8,53.0,f,0.0,0.0,17526.2947765,17474.13,16800.0,726.29,0.0,0.0,0.0,Sep-2014,1147.54,,Sep-2014,0.0,1.0,INDIVIDUAL,0.0,0.0,127215.0,41300.0
114069,6305990,7837911,5000.0,5000.0,5000.0, 60 months,15.88,121.28,2.0,13.0,2.0,MORTGAGE,46120.0,Verified,Jul-2013,n,home_improvement,Home Improvement Loan,770xx,TX,32.91,0.0,468.0,0.0,9.0,0.0,8773.0,63.6,63.0,w,0.0,0.0,2883.81,2883.81,1111.91,1071.13,0.0,700.77,7.0077,Feb-2015,121.28,,Jul-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,223933.0,13800.0
313878,26378064,28851082,14000.0,14000.0,14000.0, 36 months,17.57,503.12,3.0,18.0,0.0,RENT,215000.0,Not Verified,Aug-2014,n,debt_consolidation,Debt consolidation,021xx,MA,12.35,1.0,514.0,0.0,17.0,0.0,5560.0,16.3,45.0,f,0.0,0.0,15344.9,15344.9,14000.0,1344.9,0.0,0.0,0.0,Apr-2015,10332.42,,Jan-2016,0.0,1.0,INDIVIDUAL,1.0,3601.0,264202.0,34200.0
91997,7072500,8734063,20000.0,20000.0,20000.0, 36 months,13.68,680.45,2.0,10.0,1.0,RENT,65000.0,Verified,Sep-2013,n,debt_consolidation,Debt,932xx,CA,19.29,1.0,499.0,0.0,7.0,0.0,16842.0,71.7,24.0,w,0.0,0.0,23844.25,23844.25,20000.0,3844.25,0.0,0.0,0.0,Aug-2015,8874.35,,Aug-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,28768.0,23500.0
176130,2874674,3476844,8000.0,8000.0,7975.0, 36 months,17.27,286.3,2.0,14.0,6.0,MORTGAGE,100000.0,Source Verified,Jan-2013,n,home_improvement,Home improvement,103xx,NY,11.25,0.0,492.0,1.0,15.0,0.0,11819.0,55.7,32.0,w,0.0,0.0,10306.7054007,10274.5,8000.0,2306.71,0.0,0.0,0.0,Jan-2016,286.2,,Dec-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,32661.0,21200.0
781432,46566329,49704046,31575.0,31575.0,31575.0, 60 months,21.67,866.16,4.0,24.0,10.0,RENT,66000.0,Verified,Apr-2015,n,credit_card,Credit card refinancing,274xx,NC,6.84,0.0,514.0,0.0,11.0,0.0,13310.0,52.2,18.0,w,0.0,0.0,2560.47,2560.47,904.03,1656.44,0.0,0.0,0.0,Aug-2015,866.16,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,38398.0,25500.0
273969,31768241,34371441,13000.0,13000.0,13000.0, 60 months,15.61,313.45,3.0,15.0,2.0,RENT,48000.0,Source Verified,Oct-2014,n,car,Car financing,282xx,NC,20.4,0.0,578.0,1.0,5.0,0.0,3227.0,43.0,13.0,w,0.0,0.0,13782.96,13782.96,13000.0,782.96,0.0,0.0,0.0,Feb-2015,12853.88,,Mar-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,31288.0,7500.0
195015,1565402,1832695,12000.0,12000.0,12000.0, 36 months,13.11,404.97,1.0,8.0,2.0,RENT,90000.0,Verified,Oct-2012,n,credit_card,High interest Consolidation,105xx,NY,8.21,1.0,491.0,0.0,10.0,0.0,23715.0,70.0,19.0,f,0.0,0.0,13069.21,13069.21,12000.0,1069.21,0.0,0.0,0.0,Jul-2013,9830.41,,Feb-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,26099.0,33900.0
183515,2224917,2637092,10000.0,10000.0,10000.0, 36 months,14.33,343.39,2.0,10.0,1.0,MORTGAGE,73000.0,Not Verified,Nov-2012,n,debt_consolidation,Consolidation,553xx,MN,15.44,2.0,532.0,1.0,15.0,0.0,8524.0,63.1,28.0,f,0.0,0.0,12361.650008,12361.65,10000.0,2361.65,0.0,0.0,0.0,Dec-2015,343.0,,Nov-2015,0.0,1.0,INDIVIDUAL,0.0,0.0,220158.0,13500.0
164576,3219343,3962117,8325.0,8325.0,8325.0, 36 months,19.05,305.38,3.0,18.0,2.0,RENT,25000.0,Not Verified,Feb-2013,n,debt_consolidation,my bill loan,217xx,MD,7.58,0.0,523.0,1.0,4.0,0.0,5804.0,65.2,7.0,w,0.0,0.0,10569.0,10569.0,8325.0,2244.0,0.0,0.0,0.0,Dec-2014,4156.02,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,5804.0,8900.0
452557,11304576,13216727,12000.0,12000.0,11975.0, 36 months,13.98,410.02,2.0,10.0,10.0,RENT,100000.0,Verified,Jan-2014,n,credit_card,Credit card refinancing,768xx,TX,9.26,0.0,444.0,1.0,12.0,1.0,8757.0,70.1,45.0,f,0.0,0.0,12409.92,12384.07,12000.0,409.92,0.0,0.0,0.0,May-2014,11589.88,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,93686.0,12500.0
192452,1593600,1863808,17250.0,17250.0,17250.0, 36 months,17.27,617.34,2.0,14.0,0.0,MORTGAGE,85000.0,Not Verified,Oct-2012,n,credit_card,Creditor,543xx,WI,18.03,1.0,550.0,1.0,10.0,0.0,10170.0,51.4,16.0,f,0.0,0.0,22222.8671841,22222.87,17250.0,4972.87,0.0,0.0,0.0,Oct-2015,618.69,,Oct-2015,0.0,1.0,INDIVIDUAL,0.0,250.0,127331.0,19800.0
227617,1120518,1358386,18000.0,18000.0,17950.0, 60 months,22.06,497.76,5.0,28.0,7.0,MORTGAGE,99996.0,Verified,Feb-2012,n,debt_consolidation,Debt Consolidation Loan,980xx,WA,12.05,1.0,527.0,0.0,6.0,0.0,3778.0,99.4,16.0,f,0.0,0.0,20555.78,20498.68,18000.0,2555.78,0.0,0.0,0.0,Oct-2012,17078.4,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,,,
229236,1098006,1334361,23275.0,23275.0,23275.0, 36 months,19.91,863.92,4.0,23.0,10.0,RENT,48000.0,Verified,Jan-2012,n,car,F-150,847xx,UT,6.95,0.0,578.0,1.0,8.0,0.0,11528.0,45.0,14.0,f,0.0,0.0,27348.8,27348.8,23275.0,4073.8,0.0,0.0,0.0,Jan-2013,17867.64,,Feb-2013,0.0,1.0,INDIVIDUAL,0.0,,,
61951,8964943,10757076,25000.0,25000.0,25000.0, 36 months,15.1,867.86,2.0,11.0,5.0,MORTGAGE,95000.0,Source Verified,Nov-2013,n,debt_consolidation,Debt consolidation,945xx,CA,21.61,1.0,505.0,0.0,18.0,0.0,22953.0,55.2,34.0,w,0.0,0.0,30613.33,30613.33,25000.0,5613.33,0.0,0.0,0.0,Dec-2015,10582.87,,Jan-2016,0.0,1.0,INDIVIDUAL,0.0,0.0,255126.0,41600.0
